cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
310101346,89,Boskovická 8a,62100,Brno,Boskovická,2001/8,Brno-město,Jihomoravský,3
310101346,90,Letovická 7a,62100,Brno,Letovická,2002/7,Brno-město,Jihomoravský,3
310101346,91,Kunštátská 11a,62100,Brno,Kunštátská,2003/11,Brno-město,Jihomoravský,3
310101346,92,Horácké náměstí 1,62100,Brno,Horácké náměstí,1741/1,Brno-město,Jihomoravský,4
310101346,93,Horácké náměstí 12,62100,Brno,Horácké náměstí,1742/12,Brno-město,Jihomoravský,7
310101346,94,Ječná 38a,62100,Brno,Ječná,2004/38,Brno-město,Jihomoravský,2
310101346,95,Polívkova 12,62100,Brno,Polívkova,513/12,Brno-město,Jihomoravský,3
310101346,96,Boskovická 1,62100,Brno,Boskovická,1739/1,Brno-město,Jihomoravský,4
310101346,97,Renčova 18a,62100,Brno,Renčova,2005/18,Brno-město,Jihomoravský,3
310101346,98,Renčova 32a,62100,Brno,Renčova,2006/32,Brno-město,Jihomoravský,3
310101346,99,Renčova 17a,62100,Brno,Renčova,2007/17,Brno-město,Jihomoravský,4
310101346,100,Kremličkova 6a,62100,Brno,Kremličkova,2008/6,Brno-město,Jihomoravský,3
310101346,101,Škrétova 8a,62100,Brno,Škrétova,2009/8,Brno-město,Jihomoravský,3
310101346,102,Dědická 1a,62700,Brno,Dědická,1135/1,Brno-město,Jihomoravský,3
310101346,103,Jihomoravské náměstí 1a,62700,Brno,Jihomoravské náměstí,1136/1,Brno-město,Jihomoravský,3
310101346,104,Zlínská 19,62700,Brno,Zlínská,1138/19,Brno-město,Jihomoravský,3
310101346,105,Dědická 37,62700,Brno,Dědická,1139/37,Brno-město,Jihomoravský,3
310101346,106,Prostějovská 20,62700,Brno,Prostějovská,1140/20,Brno-město,Jihomoravský,4
310101346,107,Mikulčická 18,62700,Brno,Mikulčická,1141/18,Brno-město,Jihomoravský,4
310101346,108,Turgeněvova 18a,61800,Brno,Turgeněvova,1151/18,Brno-město,Jihomoravský,3
310101346,109,Za školou 1a,61700,Brno,Za školou,670/1,Brno-město,Jihomoravský,3
310101346,110,Hodonínská 25,61700,Brno,Hodonínská,669/25,Brno-město,Jihomoravský,3
310101346,111,Za mostem 22,61700,Brno,Za mostem,668/22,Brno-město,Jihomoravský,3
310101346,112,Pěkná 44a,64300,Brno,Pěkná,733/44,Brno-město,Jihomoravský,3
310101346,113,Šromova 45a,64300,Brno,Šromova,734/45,Brno-město,Jihomoravský,4
310101346,114,Šromova 36a,64300,Brno,Šromova,735/36,Brno-město,Jihomoravský,3
310101346,115,Jánošíkova 41,64300,Brno,Jánošíkova,736/41,Brno-město,Jihomoravský,3
310101346,116,Merhautova 222a,61300,Brno,Merhautova,2017/222,Brno-město,Jihomoravský,3
310101346,117,Fryčajova 145a,61400,Brno,Fryčajova,600/145,Brno-město,Jihomoravský,3
310101346,119,Grohova 41,60200,Brno,Grohova,134/41,Brno-město,Jihomoravský,2
310101346,120,Meluzínova 3,61500,Brno,Meluzínova,33/3,Brno-město,Jihomoravský,6
310101346,121,Vlnitá 13,62700,Brno,Vlnitá,432/13,Brno-město,Jihomoravský,2
310101346,122,Antala Staška 39,61300,Brno,Antala Staška,87/39,Brno-město,Jihomoravský,2
310101346,123,Jugoslávská 152,61300,Brno,Jugoslávská,695/152,Brno-město,Jihomoravský,2
310101346,124,Meluzínova 19,61500,Brno,Meluzínova,3783/19,Brno-město,Jihomoravský,3
310101346,125,Dubová 23a,63700,Brno,Dubová,787/23,Brno-město,Jihomoravský,5
310101346,126,Nadační 5,62100,Brno,Nadační,571/5,Brno-město,Jihomoravský,2
310101346,127,Hrázka 4,62100,Brno,Hrázka,576/4,Brno-město,Jihomoravský,2
310101346,128,Hrázka 12,62100,Brno,Hrázka,587/12,Brno-město,Jihomoravský,3
310101346,129,Hrázka 20,62100,Brno,Hrázka,601/20,Brno-město,Jihomoravský,3
310101346,130,Hrázka 30,62100,Brno,Hrázka,615/30,Brno-město,Jihomoravský,3
310101346,131,Hrázka 40,62100,Brno,Hrázka,621/40,Brno-město,Jihomoravský,3
310101346,132,U Leskavy 22,62500,Brno,U Leskavy,765/22,Brno-město,Jihomoravský,3
310101346,133,U Leskavy 24,62500,Brno,U Leskavy,737/24,Brno-město,Jihomoravský,2
310101346,134,U Leskavy 27,62500,Brno,Brno,782/27,Brno-město,Jihomoravský,2
310101346,135,U Leskavy 28,62500,Brno,U Leskavy,728/28,Brno-město,Jihomoravský,2
310101346,136,U Leskavy 31,62500,Brno,U Leskavy,788/31,Brno-město,Jihomoravský,2
310101346,137,U Leskavy 32,62500,Brno,U Leskavy,730/32,Brno-město,Jihomoravský,2
310101346,138,Foltýnova 19a,63500,Brno,Foltýnova,1188/19,Brno-město,Jihomoravský,1
310101346,139,Kuršova 36,63500,Brno,Kuršova,1196/36,Brno-město,Jihomoravský,1
310101353,1,Baranova 40,13000,Praha,Baranova,678/40,,,7
310101353,2,Biskupcova 31,13000,Praha,Biskupcova,1733/31,,,3
310101353,3,Jeseniova 35,13000,Praha,Jeseniova,1046/35,,,6
310101353,5,Kunešova 8,13000,Praha,Kunešova,2648/8,,,2
310101353,6,Na Ohradě 2,13000,Praha,Na Ohradě,1228/2,,,2
310101353,7,Ondříčkova 35,13000,Praha,Ondříčkova,385/35,,,3
310101353,8,Baranova 17,13000,Praha,Baranova,1374/17,,,2
310101353,9,Biskupcova 53,13000,Praha 3,Biskupcova,2433/53,,,3
310101353,10,Koněvova 123,13000,Praha 3,Koněvova,342/123,,,2
310101353,11,Pod lipami 7,13000,Praha 3,Pod lipami,2665/7,,,3
310101353,12,Biskupcova 20,13000,Praha,Biskupcova,512/20,,,2
310101353,13,Husitská 44,13000,Praha,Husitská,790/44,,,2
310101353,14,Koněvova 122,13000,Praha,Koněvova,667/122,,,2
310101353,15,Koněvova 153,13000,Praha,Koněvova,2414/153,,,2
310101353,16,Koněvova 178,13000,Praha,Koněvova,2397/178,,,2
310101353,17,Koněvova 192,13000,Praha,Koněvova,2394/192,,,2
310101353,18,Na Hlídce 10,13000,Praha,Na Hlídce,2412/10,,,2
310101353,19,Na Hlídce 13,13000,Praha,Na Hlídce,2410/13,,,2
310101353,20,Strážní 6,13000,Praha,Strážní,2390/6,,,3
310101353,21,Sudoměřská 52,13000,Praha,Sudoměřská,893/52,,,2
310101353,22,Viklefova 2,13000,Praha,Viklefova,1928/20,,,2
310101353,23,Ambrožova 1,13000,Praha,Ambrožova,2408/1,,,1
310101353,24,Perunova 5,13000,Praha,Perunova,919/5,,,2
310101353,25,Zelenky Hajského 2,13000,Praha,Zelenky Hajského,1935/2,,,2
310101354,1,"Kotelna ""Pod lipou""",50801,Hořice,Pod lipou,2116,Jičín,Královéhradecký,2
310101369,1,Bloková plynová kotelna,69301,Hustopeče,Svatopluka Čecha,10/967,Břeclav,Jihomoravský,4
310101369,2,Bloková plynová kotelna,69301,Hustopeče,Masarykovo náměstí,8,Břeclav,Jihomoravský,6
310101369,3,Bloková plynová kotelna,69301,Hustopeče,Větrná,3/1015,Břeclav,Jihomoravský,3
310101369,4,Bloková plynová kotelna,69301,Hustopeče,Větrná,2/1014,Břeclav,Jihomoravský,3
310101369,5,Plynová kotelna,69301,Hustopeče,Gen. Peřiny,1296/12,Břeclav,Jihomoravský,3
310101381,3,Kotelna 445,51301,Semily,Bořkovská,445,Semily,Liberecký,4
310101381,4,Kotelna 438,51301,Semily,Na Olešce,438,Semily,Liberecký,4
310101381,5,Kotelna 256,51301,Semily,Luční,256,Semily,Liberecký,3
310101381,6,Kotelna 523,51301,Semily,Bavlnářská,523,Semily,Liberecký,4
310101399,2,Kotelna Radkovská,58856,Telč,Radkovská,506,Jihlava,Vysočina,6
310101414,3,Kotelna Hlouška,28401,Kutná Hora,Puškinská,643,Kutná Hora,Středočeský,6
310101414,4,kotelna Šipší,28401,Kutná Hora,Ortenova,184,Kutná Hora,Středočeský,9
310101417,1,F1 Rožnovská 345,74401,Frenštát pod Radhoštěm,Rožnovská,,Nový Jičín,Moravskoslezský,1
310101417,2,F3 Fr. Horečky 330,74401,Frenštát pod Radhoštěm,Fr. Horečky,,Nový Jičín,Moravskoslezský,3
310101417,3,F4 Dolní 440,74401,Frenštát pod Radhoštěm,Dolní,,Nový Jičín,Moravskoslezský,1
310101417,4,K2 školská 1282,74401,Frenštát pod Radhoštěm,Školská,,Nový Jičín,Moravskoslezský,3
310101417,5,K3 Školská 1365,74401,Frenštát pod Radhoštěm,Školská,,Nový Jičín,Moravskoslezský,3
310101417,6,K223 Markova 223,74401,Frenštát pod Radhoštěm,Markova,,Nový Jičín,Moravskoslezský,5
310101417,7,K503 Dolní 503,74401,Frenštát pod Radhoštěm,Dolní,503,Nový Jičín,Moravskoslezský,2
310101417,9,F2 Tyršova 913,74401,Frenštát pod Radhoštěm,Tyršova,913,Nový Jičín,Moravskoslezský,5
310101417,10,K225 Nádražní 225,74401,Frenštát pod Radhoštěm,Nádražní,225,Nový Jičín,Moravskoslezský,4
310101421,1,Rapotínská,34701,Tachov,Rapotínská,,Tachov,Plzeňský,3
310101421,2,PK 16 Zárečná 1521,34701,Tachov,Zárečná,,Tachov,Plzeňský,2
310101421,3,PK 17 Bělojarská,34701,Tachov,Bělojarská,1466,Tachov,Plzeňský,2
310101421,4,PK 20 Stadtrodská,34701,Tachov,Stadtrodská,,Tachov,Plzeňský,3
310101421,5,PK 18 Školní,34701,Tachov,Školní,,Tachov,Plzeňský,3
310101421,6,PK 2 Školní,34701,Tachov,Školní,1365,Tachov,Plzeňský,3
310101422,1,PLYNOVÁ VÝTOPNA,35733,Loket,Sportovní č.ev,134,Sokolov,Karlovarský,7
310101426,1,Kotelna,47123,Zákupy,Gagarinova,356,Česká Lípa,Liberecký,2
310101426,3,Kotelna,47123,Zákupy,Nové Zákupy,522,Česká Lípa,Liberecký,3
310101436,1,Plynová kotelna K1,33011,Třemošná,Budovatelská,808,Plzeň-sever,Plzeňský,3
310101436,2,Plynová kotelna K2,33011,Třemošná,Budovatelská,819,Plzeň-sever,Plzeňský,2
310101436,3,Plynová kotelna K3,33011,Třemošná,Budovatelská,838,Plzeň-sever,Plzeňský,3
310101436,4,Plynová kotelna K4,33011,Třemošná,Šeříková,900,Plzeň-sever,Plzeňský,2
310101436,5,Plynová kotelna K5,33011,Třemošná,Mládežníků,1013,Plzeň-sever,Plzeňský,3
310101438,1,KO 01JH,37701,Jindřichův Hradec,Otín,166,Jindřichův Hradec,Jihočeský,4
310101438,3,KO 01NB,37833,Nová Bystřice,K. H. Borovského,557,Jindřichův Hradec,Jihočeský,2
310101438,5,KO 01SU,37806,Suchdol nad Lužnicí,Palackého,729,Jindřichův Hradec,Jihočeský,2
310101438,7,KO 01DA,38001,Dačice,Antonína Dvořáka,224,Jindřichův Hradec,Jihočeský,2
310101438,9,KO 01CH,37804,Chlum u Třeboně,Chlum u Třeboně,369,Jindřichův Hradec,Jihočeský,3
310101438,10,KO 01CV,37810,České Velenice,České Velenice,558,Jindřichův Hradec,Jihočeský,1
310101438,13,KO 03TR,37901,Třeboň,Boženy Němcové,1117,Jindřichův Hradec,Jihočeský,2
310101438,14,KO 02JH,37701,Jindřichův Hradec,sídl. U nádraží,795,Jindřichův Hradec,Jihočeský,2
310101438,15,AQ 01JH,37701,Jindřichův Hradec,Jáchymova,865,Jindřichův Hradec,Jihočeský,2
310101438,16,KO01KR,37821,Kardašova Řečice,sídliště T.G.Masaryka,,Jindřichův Hradec,Jihočeský,2
310101438,17,KOZSCH,37804,Chlum u Třeboně,Náměstí,232,Jindřichův Hradec,Jihočeský,2
310101438,18,KO446NV,37842,Nová Včelnice,Na Hliněnce,446,Jindřichův Hradec,Jihočeský,2
310101438,19,KO457NV,37842,Nová Včelnice,Na Hliněnce,457,Jindřichův Hradec,Jihočeský,2
310101452,1,Plynová kotelna AVTB,75701,Valašské Meziříčí,Zašovská,750,Vsetín,Zlínský,2
310101471,1,Centrální výtopna,79501,Rýmařov,Okružní,849/47,Bruntál,Moravskoslezský,3
310101471,2,Plynová kotelna Žižkova,79501,Rýmařov,Žižkova,1278/14,Bruntál,Moravskoslezský,2
310101471,3,NTK - Bartákova 19,79501,Rýmařov,Bartákova,1025/19,Bruntál,Moravskoslezský,1
310101471,4,NTK Bartákova 37,79501,Rýmařov,Bartákova,839/37,Bruntál,Moravskoslezský,1
310101471,5,Sídlištní kotelna Libina,78805,Libina,Libina,,Šumperk,Olomoucký,2
310101471,6,NTK Palackého 30,79368,Dvorce,Palackého,30,Bruntál,Moravskoslezský,2
310101471,7,"NTK Nemocniční 3, Dvorce",79368,Dvorce,Nemocniční,3,Bruntál,Moravskoslezský,2
310101471,8,"NTK Olomoucká, Dvorce",79368,Dvorce,Olomoucká,38,Bruntál,Moravskoslezský,2
310101471,10,NTK Rudná 161,79331,Rudná pod Pradědem,Rudná pod Pradědem,161,Bruntál,Moravskoslezský,2
310101471,11,NTK Rudná 85,79331,Rudná pod Pradědem,Rudná pod Pradědem,85,Bruntál,Moravskoslezský,2
310101471,12,NTK Razová,79201,Razová,Razová,410,Bruntál,Moravskoslezský,2
310101471,13,NTK Bludov - Školní 690,78961,Bludov,Školní,690,Šumperk,Olomoucký,2
310101471,14,NTK Huzová č.p. 329,79351,Huzová,Huzová,329,Olomouc,Olomoucký,2
310101474,1,Plyn. kot. Jesenická,79351,Břidličná,Jesenická,,Bruntál,Moravskoslezský,2
310101474,2,Domovní kotelna Vajglov 49,79351,Břidličná,Břidličná,49,Bruntál,Moravskoslezský,2
310101474,3,Ply.kotelna Tovární,79351,Břidličná,Břidličná,128,Bruntál,Moravskoslezský,3
310101497,1,Motorová teplárna,41118,Budyně nad Ohří,Pražská,403,Litoměřice,Ústecký,2
310101515,2,Kotelna Semanínská,56002,Česká Třebová,Semanínská,,Ústí nad Orlicí,Pardubický,3
310101515,7,Kotelna,35002,Cheb,Za Nádražím,668/73,Cheb,Karlovarský,3
310101521,1,Kotelna Lihovarská s.r.o.,19000,Praha,Lihovarská,2180/9,,,3
310101524,1,Základní závod - TTA 1,39002,Tábor,U Cihelny,2128,Tábor,Jihočeský,4
310101524,2,Špičková kotelna - TTA 2,39005,Tábor,Václava Soumara,,Tábor,Jihočeský,3
310101526,1,Kotelna Hrbová,75501,Vsetín,Mládí,,Vsetín,Zlínský,3
310101526,3,Teplárna Jiráskova,75501,Vsetín,Jiráskova,,Vsetín,Zlínský,1
310101526,4,Teplárna Ohrada,75501,Vsetín,Jasenická,643,Vsetín,Zlínský,4
310101526,5,Kotelna MZT,75501,Vsetín,Jasenice,,Vsetín,Zlínský,1
310101526,6,Teplárna Jasenice,75501,Vsetín,Jasenice,,Vsetín,Zlínský,2
310101526,7,Teplárna Ohrada - KJ 2,75501,Vsetín,Jasenická,,Vsetín,Zlínský,1
310101532,1,Kotelna Braňany,43522,Braňany,Bílinská,,Most,Ústecký,2
310101539,1,Plynová kotelna I. kategorie Č.ST.P. 223/4 KÚ Bečov u Mostu,43526,Bečov,Bečov,,Most,Ústecký,3
310101540,3,NTL plynová kotelna G 14,69006,Břeclav,Hájová,1090,Břeclav,Jihomoravský,3
310101540,7,NTL plynová kotelna G 18,69002,Břeclav,Na Valtické,628,Břeclav,Jihomoravský,5
310101540,9,NTL plynová kotelna G 22,69002,Břeclav,Fintajslova,2173/3,Břeclav,Jihomoravský,3
310101540,10,NTL plynová kotelna G 24,69002,Břeclav,Sladová,2854,Břeclav,Jihomoravský,3
310101542,1,Kotelna Hálkova 861,33202,Starý Plzenec,Hálkova,861,Plzeň-jih,Plzeňský,2
310101542,2,Kotelna Hálkova 969,33202,Starý Plzenec,Hálkova,969,Plzeň-jih,Plzeňský,2
310101542,3,Kotelna Jiráskova,33202,Starý Plzenec,Jiráskova,810,Plzeň-jih,Plzeňský,3
310101546,1,Kotelna sever,35801,Kraslice,Na Rovině,1733,Sokolov,Karlovarský,3
310101546,2,Kotelna střed,35801,Kraslice,Pohraniční stráže,1828,Sokolov,Karlovarský,4
310101546,3,Kotelna jih,35801,Kraslice,Soukenická,1783,Sokolov,Karlovarský,3
310101566,1,Kotelna Příšovice,46446,Příšovice,Příšovice,42,Liberec,Liberecký,4
310101566,3,Kotelna Březová Alej,46001,Liberec,Březová Alej,1208/18,Liberec,Liberecký,3
310101566,5,Multifunkční komplex Arena Liberec,46006,Liberec,28. říjn,28,Liberec,Liberecký,2
310101566,6,Plavecký bazén Liberec,46001,Liberec,Tržní náměstí,1338,Liberec,Liberecký,3
310101567,1,Plynová kotelna a spalovna,46001,Liberec,Kristiánova,357/10,Liberec,Liberecký,3
310101567,3,Kotelna Turnov,51101,Turnov,28. říjn,28,Semily,Liberecký,4
310101571,1,Kotelna K8,67401,Třebíč,Na svahu,,Třebíč,Vysočina,1
310101573,1,Kotelna K1,25001,Brandýs nad Labem-Stará Boleslav,sídliště u nádraží Brandýs nad Labem,1831,Praha-východ,Středočeský,3
310101581,1,Plynová kotelna,36233,Hroznětín,Sídliště,310,Karlovy Vary,Karlovarský,2
310101586,1,"Teplárna ŽĎAS, a.s.",59171,Žďár nad Sázavou,Srojírenská,675/6,Žďár nad Sázavou,Vysočina,7
310101588,4,Kotelna Olbrachtova,69501,Hodonín,Olbrachtova,,Hodonín,Jihomoravský,1
310101594,1,Kotelna V - 15 - Centrum II.,74901,Vítkov,Selská,,Opava,Moravskoslezský,2
310101594,2,Kotelna V - 6 - Budišovská,74901,Vítkov,Budišovská,500,Opava,Moravskoslezský,3
310101594,3,Wolkerova,74901,Vítkov,Wolkerova,,Opava,Moravskoslezský,2
310101594,4,Kotelna V - 1 Oderská,74901,Vítkov,Oderská,215,Opava,Moravskoslezský,3
310101594,5,Kotelna V - 4,74901,Vítkov,Husova,643,Opava,Moravskoslezský,3
310101594,6,Kotelna V - 8,74901,Vítkov,Opavská,687,Opava,Moravskoslezský,4
310101594,7,Kotelna V - 9,74901,Vítkov,Komenského,152,Opava,Moravskoslezský,3
310101596,1,Kotelna - ČBE,67818,Blansko,Gellhornova,8,Blansko,Jihomoravský,3
310101596,3,Kotelna - Kuchyně,67818,Blansko,Gellhornova,10,Blansko,Jihomoravský,3
310101596,4,Kotelna - Nástrojárna,67818,Blansko,Gellhornova,10,Blansko,Jihomoravský,3
310101596,5,Kotelna - STR 1,67818,Blansko,Gellhornova,10,Blansko,Jihomoravský,5
310101596,6,Kotelna - SL2,67818,Blansko,Gellhornova,18,Blansko,Jihomoravský,3
310101596,7,Kotelna - SL 1,67818,Blansko,Gellhornova,18,Blansko,Jihomoravský,4
310101596,8,Kotelna - P14,67818,Blansko,Gellhornova,14,Blansko,Jihomoravský,2
310101596,9,Kotelna - P19,67818,Blansko,Gellhornova,14,Blansko,Jihomoravský,2
310101602,1,Teplárna Studénka,50901,Nová Paka,U Teplárny,1300,Jičín,Královéhradecký,5
310101610,2,"Plynová kotelna Bradlecká ul., stp. 1616/5, 1616/13",29306,Kosmosy,Bradlecká,,Mladá Boleslav,Středočeský,2
310101617,1,Kotelna OKD,74801,Hlučín,ČSA,1263,Opava,Moravskoslezský,4
310101617,2,Kotelna Dukelská,74801,Hlučín,Dukelská,,Opava,Moravskoslezský,4
310101617,3,Kotelna Cihelní,74801,Hlučín,Cihelní,149,Opava,Moravskoslezský,3
310101617,4,Kotelna Zahradní,74801,Hlučín,Zahradní,,Opava,Moravskoslezský,3
310101630,1,Bloková kotelna Nová ul.,67972,Kunštát na Moravě,Nová,,Blansko,Jihomoravský,3
310101634,1,2011  PK Hlubočky,78361,Hlubočky,Na Orátě,,Olomouc,Olomoucký,3
310101634,2,20108 PK Horní náměstí 11,77200,Olomouc,Ztracená,322/1,Olomouc,Olomoucký,2
310101634,3,20131 PK Horní n. 23,77200,Olomouc,Horní náměstí,424/23,Olomouc,Olomoucký,2
310101634,5,20703 PK Ladova,77900,Olomouc,J. Lady,324/15,Olomouc,Olomoucký,2
310101634,23,I718-010/000 Tř. Míru (1236),77900,Olomouc,tř. Míru,,Olomouc,Olomoucký,2
310101638,2,Kogenerační jednotka,75701,Valašské Meziříčí,Kouty,,Vsetín,Zlínský,1
310101655,1,Teplovodní plynová kotelna čp.1375,56401,Žamberk,28. října 137,28,Ústí nad Orlicí,Pardubický,3
310101655,2,Kotelna čp. 990,56401,Žamberk,Klostermannova,990,Ústí nad Orlicí,Pardubický,3
310101663,6,Plynová kotelna K 17,67801,Blansko,Smetanova,,Blansko,Jihomoravský,4
310101663,14,Plynová kotelna K 28,67801,Blansko,Okružní,,Blansko,Jihomoravský,4
310101663,15,Plynová kotelna K 31,67801,Blansko,Dvorská,,Blansko,Jihomoravský,4
310101663,16,Plynová kotelna K 32,67801,Blansko,Pod Javory,,Blansko,Jihomoravský,7
310101663,27,Plynová kotelna K 236,62700,Brno,Langrova,1207/1,Brno-město,Jihomoravský,4
310101663,28,Kotelna Sídliště,75654,Zubří,Sídliště,6,Vsetín,Zlínský,12
310101663,29,K 352 - Lázně Blansko,67801,Blansko,Mlýnská,1828,Blansko,Jihomoravský,3
310101663,30,Plynová kotelna K 2,67801,Blansko,9. květn,9,Blansko,Jihomoravský,3
310101663,31,Plynová kotelna K 9,67801,Blansko,9. květn,9,Blansko,Jihomoravský,3
310101663,32,Plynová kotelna K 14,67801,Blansko,Družstevní,,Blansko,Jihomoravský,3
310101663,33,Plynová kotelna K 25,67801,Blansko,Salmova,,Blansko,Jihomoravský,3
310101674,1,Výtopna - Pila,25801,Vlašim,Blanická,,Benešov,Středočeský,4
310101674,2,Bloková kotelna,25801,Vlašim,Spojovací,,Benešov,Středočeský,2
310101674,3,"Bloková kotelna I+II,nemocnice",15801,Vlašim,Lidická,529,Benešov,Středočeský,2
310101674,4,BK-3,25801,Vlašim,Jana Masaryka,302,Benešov,Středočeský,3
310101674,5,BK ZŠ,25801,Vlašim,Sídliště,968,Benešov,Středočeský,6
310101674,6,BK 669 Obora,25801,Vlašim,Obora,669,Benešov,Středočeský,5
310101674,7,BK 1162,25801,Vlašim,ppor. Příhody,1162,Benešov,Středočeský,6
310101674,8,Bk 991,25801,Vlašim,Severní,991,Benešov,Středočeský,6
310101674,9,BK 986,25801,Vlašim,Severní,986,Benešov,Středočeský,6
310101674,10,BK 988,25801,Vlašim,Severní,988,Benešov,Středočeský,5
310101674,11,BK 1394,25801,Vlašim,Dvořákova,1394,Benešov,Středočeský,4
310101674,12,BK 1183,25801,Vlašim,Družstevní,1183,Benešov,Středočeský,4
310101681,2,Kotelna Radotínská,74301,Bílovec,Radotínská,962,Nový Jičín,Moravskoslezský,2
310101688,1,Bloková kotelna,75627,Valašská Bystřice,Valašská Bystřice,360,Vsetín,Zlínský,2
310101709,1,Kotelna,34813,Chodová Planá,Mariánskolázeňská,200,Tachov,Plzeňský,2
310101721,1,Bloková kotelna Kunratice,14000,Kunratice,Velké Kunratické,1312/6,,,2
310101721,2,Bloková kotelna C4,14800,Kunratice,Za Valem,1374/9,,,3
310101721,4,Plynová kotelna Háje,14900,Háje,Květnového Vítězství,1000/81,,,2
310101721,6,BLOKOVÁ KOTELNA C6-03,14800,Kunratice,Muškova,1429/2,,,2
310101723,1,Kotelna KA Velké OPatovice,67963,Velké Opatovice,Hliníky,671,Blansko,Jihomoravský,3
310101723,3,Kotelna K2,67961,Letovice,Alb. Krejčího,28,Blansko,Jihomoravský,3
310101723,7,Kotelna Nemohold D,68001,Boskovice,Dřevařská,1560,Blansko,Jihomoravský,2
310101729,1,Plynová kotelna EC II,51401,Jilemnice,Jana Weisse,1218,Semily,Liberecký,5
310101729,2,Plynová kotelna ZŠ I,51401,Jilemnice,Komenského,288,Semily,Liberecký,3
310101729,3,Plynová kotelna Valdštejnská,51401,Jilemnice,Valdštejnská,41,Semily,Liberecký,2
310101731,1,Bloková kotelna,11000,Praha,U půjčovny,969/3,,,3
310101733,1,Hlavní plynová kotelna,79324,Karlova Studánka,Karlova Studánka,26,Bruntál,Moravskoslezský,4
310101737,2,Kotelna B,73911,Frýdlant nad Ostravicí,Jiráskova,145,Frýdek-Místek,Moravskoslezský,2
310101737,3,Kotelna C,73911,Frýdlant nad Ostravicí,Nerudova,236,Frýdek-Místek,Moravskoslezský,4
310101737,5,Kotelna Ferrum,73911,Frýdlant nad Ostravicí,Revoluční,272,Frýdek-Místek,Moravskoslezský,2
310101737,6,Čeladná Centrum,73912,Čeladná,Čeladná,715,Frýdek-Místek,Moravskoslezský,2
310101739,1,Domov důchodců,73911,Frýdlant nad Ostravicí,Padlých hrdinů,312,Frýdek-Místek,Moravskoslezský,1
310101752,1,Centrální plynová kotelna Písecká,39165,Bechyně,Písecká,761,Tábor,Jihočeský,3
310101752,7,"Plynová kotelna SNP, Lhenice",38402,Lhenice,Kotelna SNP,,Prachatice,Jihočeský,4
310101752,8,Centrální teplárna,14828,Praha 4 - Kunratice,Technologická,956,,,4
310101752,10,Kotelna Poliklinika - Bučovice,68501,Bučovice,Sovětská,912,Vyškov,Jihomoravský,4
310101752,12,Kotelna Větrník,54941,Červený Kostelec,Gen. Kratochvíla,1251,Náchod,Královéhradecký,3
310101752,13,KGJ - VŠCHT Praha,14800,Praha,Chemická,956,,,1
310101752,14,Kotelna Koubovka,54941,Červený Kostelec,Koubovka,1196,Náchod,Královéhradecký,5
310101752,15,PK 17. listopadu,66902,Znojmo,17. listopadu 2394/3,17,Znojmo,Jihomoravský,8
310101752,16,PK Aninská K9,66902,Znojmo,Aninská,,Znojmo,Jihomoravský,4
310101752,17,PK Dobšice,67182,Dobšice,Na kopečku,,Znojmo,Jihomoravský,3
310101752,18,PK Holandská K1,66902,Znojmo,Holandská,,Znojmo,Jihomoravský,6
310101752,19,PK Holandská K4,66902,Znojmo,Holandská,,Znojmo,Jihomoravský,6
310101752,20,PK PSV 1,66902,Znojmo,Pod Soudním Vrchem,,Znojmo,Jihomoravský,6
310101752,21,PK PSV 2,66902,Znojmo,Pod Soudním Vrchem,,Znojmo,Jihomoravský,6
310101752,22,PK Sokolovská K8,66902,Znojmo,Sokolovská,,Znojmo,Jihomoravský,4
310101752,23,PK U Lesíka,66902,Znojmo,U Lesíka,,Znojmo,Jihomoravský,4
310101752,24,Kotelna Nová Včelnice - Na Hliněnce,37842,Nová Včelnice,Na Hliněnce,,Jindřichův Hradec,Jihočeský,4
310101752,25,DK Coufalova 12,66902,Znojmo,Coufalova,2649/12,Znojmo,Jihomoravský,4
310101752,26,DK Kuchařovická 9,66902,Znojmo,Kuchařovická,1225/9,Znojmo,Jihomoravský,3
310101752,27,Kotelna Jesenice,27033,Jesenice,Školní,323,Rakovník,Středočeský,4
310101752,28,PK Holandská 7,66902,Znojmo,Holandská,2717/7,Znojmo,Jihomoravský,2
310101752,29,PK Rousínov,68301,Rousínov,V sídlišti,,Vyškov,Jihomoravský,2
310101752,30,"PK Příkop, Brno",60200,Brno,Příkop,834/8,Brno-město,Jihomoravský,4
310101752,31,PK Hodonice 269,67125,Hodonice,Obecní,269,Znojmo,Jihomoravský,2
310101785,7,Jaroměř-ubytovna,55102,Jaroměř,Novoměstská,362,Náchod,Královéhradecký,3
310101785,14,Boletice - ubytovna,38229,Boletice,Boletice,,Český Krumlov,Jihočeský,2
310101785,15,CK Libavá,78306,Libavá,9. květn,9,Olomouc,Olomoucký,3
310101785,16,Libavá 210,78306,Libavá,9. května 21,9,Olomouc,Olomoucký,3
310101791,1,CZT Rumburk-Podhájí,40801,Rumburk,Lesní,92,Děčín,Ústecký,3
310101794,1,Kotelna IV.b.o.,38301,Prachatice,Italská,,Prachatice,Jihočeský,5
310101797,1,Energocentrum Zahradní,75131,Lipník nad Bečvou,Zahradní,1398,Přerov,Olomoucký,3
