cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
310100558,1,Plynová kotelna NZH,40076,Ústí nad Labem,Hrbovická,2,Ústí nad Labem,Ústecký,3
310100597,1,Bloková kotelna Bzenec,69681,Bzenec,Novosady,1178,Hodonín,Jihomoravský,4
310100626,1,Plynová kotelna Hradecká,55101,Jaroměř,Hradecká,,Náchod,Královéhradecký,4
310100626,2,Plynová kotelna Národní,55101,Jaroměř,Národní,83,Náchod,Královéhradecký,4
310100626,4,Plynová kotelna Gymnázium,55101,Jaroměř,Lužická,423,Náchod,Královéhradecký,2
310100628,1,Teplárna Ostrov,36301,Ostrov,Mořičovská,,Karlovy Vary,Karlovarský,6
310100636,1,"Plynová kotelna PK16,",76861,Bystřice pod Hostýnem,Topolová,1563,Kroměříž,Zlínský,4
310100636,2,Plynová kotelna PK 36,76861,Bystřice pod Hostýnem,Vsetínská,1562,Kroměříž,Zlínský,4
310100649,1,Kotelna Bystřice p.H,76861,Bystřice pod Hostýnem,Michaela Thoneta,148,Kroměříž,Zlínský,2
310100649,2,Kotelna Holešov,76901,Holešov,Tovární,725,Kroměříž,Zlínský,1
310100657,1,Kotelna Nýřany II,33023,Nýřany,Komenského,1016,Plzeň-sever,Plzeňský,3
310100657,2,Kotelna Nýřany III,33023,Nýřany,Luční,2,Plzeň-sever,Plzeňský,3
310100657,3,Kotelna Kaznějov,33151,Kaznějov,Sídliště,480,Plzeň-sever,Plzeňský,3
310100662,1,"ENERGY Ústí nad Labem, a.s.",40003,Ústí nad Labem,Žukovova,100/27,Ústí nad Labem,Ústecký,3
310100685,1,Teplárna Otrokovice,76539,Otrokovice,Objízdná,1777,Zlín,Zlínský,5
310100685,2,Výtopna - Malenovice,76302,Zlín - Malenovice,třída,3,Zlín,Zlínský,3
310100703,1,Výtopna Nýrsko,34022,Nýrsko,Práce,104,Klatovy,Plzeňský,4
310100707,1,kotelna Smetanovo n.,58001,Havlíčkův Brod,Smetanovo náměstí,1867,Havlíčkův Brod,Vysočina,3
310100707,2,kotelna Výšina,58001,Havlíčkův Brod,Výšina,3235,Havlíčkův Brod,Vysočina,3
310100707,3,kotelna Žižkov II.,58001,Havlíčkův Brod,Žižkov,1245,Havlíčkův Brod,Vysočina,3
310100707,4,kotelna Rozkošská,58001,Havlíčkův Brod,Rozkošská,3009,Havlíčkův Brod,Vysočina,3
310100707,5,Villapark Čechovka,58001,Havlíčkův Brod,Stromovka,3962,Havlíčkův Brod,Vysočina,2
310100715,1,Plynová kotelna K1,73539,Hranice I,Bělotínská,288,Přerov,Olomoucký,3
310100729,1,Sídlištní kotelna,33842,Hrádek,Hrádek,,Rokycany,Plzeňský,3
310100735,2,Plynová kotelna 1100,29001,Poděbrady,Kunštátská,1100/,Nymburk,Středočeský,3
310100735,3,Plynová kotelna 1121,29001,Poděbrady,Hakenova,1121/,Nymburk,Středočeský,3
310100735,4,Plynová kotelna 679,29001,Poděbrady,Boučkova,679/,Nymburk,Středočeský,3
310100735,5,Plynová kotelna K3,29001,Poděbrady,Budovcova,1325/,Nymburk,Středočeský,4
310100743,1,"Plynová kotelna K28, p.č. 1603",27401,Slaný,Navrátilova,1375,Kladno,Středočeský,2
310100743,2,"Plynová kotelna K29, p.č. 1581",27401,Slaný,Smetáčkova,1438,Kladno,Středočeský,4
310100743,3,Plynová kotelna K30,27401,Slaný,Plynárenská,1456,Kladno,Středočeský,3
310100743,4,"Plynová kotelna K31, p.č. 1216",27401,Slaný,Brožovského,1015,Kladno,Středočeský,2
310100743,6,Uhelná kotelna K35,27401,Slaný,Mírová,1469,Kladno,Středočeský,2
310100743,7,Plynová kotelna K37 p.č. 106/1,27401,Slaný,Dr. Ed. Beneše,99,Kladno,Středočeský,2
