cislo_licence,pocet_zdroju
110101825,2
110101826,5
110101827,2
110101828,1
110101832,1
110101833,2
110101834,4
110101836,3
110101843,2
110101853,1
110101856,3
110101862,1
110101866,1
110101870,17
110101872,3
110101873,2
110101881,1
110101883,3
110101889,2
110101892,2
110101893,1
110101896,1
110101900,1
110101901,1
110101905,2
110101907,3
110101908,1
110101909,3
110101910,1
110101933,1
110101934,1
110101936,1
110101937,1
110101938,1
110101941,1
110101942,5
110101943,1
110101944,2
110101946,4
110101947,2
110101949,2
110101951,2
110101953,2
110101954,1
110101955,2
110101957,4
110101960,22
110101961,3
110101962,6
110101963,1
110101964,1
110101994,1
110102016,2
110102021,2
110102022,3
110102023,1
110102024,1
110102028,2
110102036,2
110102037,13
110102039,1
110102045,3
110102046,1
110102052,1
110102053,2
110102065,1
110102067,2
110102075,1
110102077,2
110102078,2
110102080,1
110102081,2
110102082,2
110102087,1
110102088,3
110102091,1
110102094,4
110102122,1
110102593,3
110102705,2
110102710,3
110102713,1
110102718,1
110102719,2
110102722,2
110102723,1
110102738,1
110102739,3
110102740,3
110102744,1
110102746,1
110102748,1
110102749,1
110102799,1
110102810,6
110102813,2
110102814,2
110102828,2
110102833,1
110102838,1
110102839,1
110102847,1
110102854,1
110102857,5
110102858,1
110102861,1
110102862,1
110102864,1
110102865,1
110102866,2
110102874,2
110102876,1
110102885,2
110102889,1
110102893,1
110102911,2
110102937,1
110102938,1
110102939,2
110102944,1
110102996,1
110103011,1
110103015,2
110103018,2
110103025,2
110103028,1
110103048,1
110103063,7
110103069,2
110103072,1
110103097,5
110103098,8
110103111,1
110103115,2
110103116,2
110103123,1
110103125,1
110103144,1
110103150,2
110103153,2
110103169,3
110103178,1
110103186,3
110103193,2
110103197,3
110103198,3
110103199,1
110103213,2
110103215,1
110103226,1
110103238,1
110103240,1
110103241,2
110103242,2
110103243,3
110103247,1
110103249,2
110103252,1
110103263,1
110103265,2
110103271,2
110103274,3
110103278,1
110103279,2
110103287,1
110103288,1
110103289,1
110103291,2
110103292,5
110103294,1
110103295,
110103308,1
110103309,1
110103332,2
110103340,3
110103342,1
110103365,2
110103380,1
110202097,4
110202099,1
110202102,1
110202106,2
110202107,4
110202107,4
110202109,2
110202113,1
110202128,1
110202129,1
110202130,1
110202150,1
110202151,1
110202167,1
110202171,1
110202178,7
110202181,
110202183,1
110202184,2
110202191,2
110202209,1
110202215,1
110202225,2
110202227,1
110202231,2
110202252,2
110202253,10
110202280,2
110202305,1
110202316,1
110202318,6
110202321,2
110202322,
110202334,2
110202335,1
110202338,3
110202362,6
110202367,1
110202376,1
110202385,1
110202386,3
110202389,1
110202398,2
110202403,3
110202405,2
110202408,3
110202426,1
110202445,4
110202448,4
110202452,1
110202453,1
110202454,1
110202458,1
110202462,3
110202471,2
110202473,1
110202477,1
110202480,1
110202484,4
110202489,1
110202496,1
110202509,9
110202510,3
110202511,3
110202514,1
110202516,4
110202527,3
110202529,1
110202537,1
110202543,2
110202565,1
110202567,1
110202569,2
110202575,2
110202584,2
110202590,1
110202592,1
110202596,1
110202602,1
110202603,1
110202604,1
110202606,2
110202608,2
110202610,1
110202612,1
110202613,2
110202614,2
110202615,7
110202616,1
110202617,6
110202620,2
110202621,1
110202626,3
110202627,1
110202629,1
110202635,2
110202641,2
110202649,1
110202651,1
110202659,1
110202661,1
110202664,2
110202666,4
110202668,3
110202669,3
110202670,3
110202679,1
110202681,1
110202684,5
110202687,2
110202690,2
110202691,1
110202692,3
110202693,2
110202695,3
110202699,2
110202706,1
110202754,1
110202758,1
110202761,2
110202762,1
110202765,1
110202783,2
110202785,1
110202792,1
110202793,1
110202797,2
110202822,1
110202843,2
110202844,1
110202871,3
110202872,2
110202881,4
110202892,1
110202895,2
110202897,1
110202899,1
110202953,3
110202956,1
110202961,1
110202962,1
110202969,2
110202972,2
110202973,1
110202974,2
110202975,1
110202977,1
110202978,1
110202980,2
110202987,4
110202991,3
110202997,1
110202998,1
110203032,1
110203037,2
110203038,2
110203055,1
110203285,1
110203389,2
110203392,1
110203395,2
110203397,1
110203398,1
110203402,1
110203403,2
110203406,1
110203411,2
110203413,1
110203414,2
110203423,1
110203424,1
110203426,3
110203433,2
110203435,6
110203436,2
110203440,3
110203444,1
110203448,1
110203450,3
110203454,1
110203455,1
110203458,1
110203459,2
110203468,1
110203486,2
110203492,1
110203493,2
110203496,1
110203502,1
110203504,2
110203506,2
110203513,2
110203521,2
110203526,1
110203547,1
110203554,14
110203572,1
110203574,4
110203582,2
110203583,2
110203587,2
110203588,1
110203593,1
110203595,3
110203597,1
110203598,1
110203601,1
110203603,1
110203606,6
110203610,4
110203617,1
110203618,2
110203620,2
110203630,3
110203633,1
110203634,1
110203656,6
110203657,2
110203665,2
110203672,2
110203677,1
110203680,1
110203695,3
110203696,1
110203705,1
110203706,1
110203709,2
110203713,1
110203715,1
110203716,1
110203723,1
110203728,1
110203748,1
110203755,6
110203759,3
110303770,2
110303777,2
110303780,1
110303788,2
110303789,2
110303796,1
110303797,1
110303800,2
110303802,1
110303805,4
110303806,1
110303809,1
110303835,6
110303841,3
110303843,1
110303846,2
110303850,1
110303858,3
110303861,1
110303862,1
110303870,1
110303876,4
110303877,2
110303880,3
110303882,2
110303885,3
110303894,2
110303901,2
110303903,2
110303909,2
110303912,1
110303925,1
110303942,1
110303965,1
110303971,1
110303972,2
110303975,1
110303982,1
110303983,1
110303985,3
110304000,2
110304002,2
110304006,3
110304011,2
110304013,1
110304025,5
110304028,1
110304033,2
110304035,2
110304037,1
110304041,2
110304050,1
110304063,4
110304071,1
110304077,2
110304078,1
110304083,12
110304084,1
110304087,2
110304097,12
110304098,2
110304104,4
110404108,3
110404111,2
110404115,2
110404117,2
110404118,2
110404127,2
110404129,1
110404139,1
110404143,1
110404146,2
110404147,1
110404148,2
110404151,2
110404152,1
110404155,2
110404156,2
110404157,1
110404162,1
110404170,1
110404176,1
110404179,2
110404181,3
110404188,3
110404189,4
110404200,2
110404206,1
110404207,1
110404212,1
110404213,3
110404214,8
110404219,3
110404224,2
110404225,1
110404226,1
110404227,22
110404230,1
110404244,1
110404254,1
110404256,1
110404263,1
110404264,2
110404274,1
110404278,1
110404280,2
110404283,3
110404284,1
110404285,2
110404286,1
110404296,1
110404297,3
110404301,2
110404302,1
110404307,1
110404308,5
110404317,1
110404319,3
110404320,3
110404324,2
110404329,2
110404349,6
110404351,7
110404354,1
110404355,1
110404356,1
110404358,1
110404362,1
110404370,2
110404372,8
110404376,1
110404377,2
110404380,10
110404414,2
110404423,2
110404499,3
110504507,1
110504508,1
110504510,1
110504528,1
110504582,4
110504593,1
110504604,
110504608,5
110504613,1
110504616,3
110504628,1
110504638,13
110504644,1
110504649,1
110504654,2
110504657,4
110504658,3
110504662,1
110504664,1
110504670,2
110504671,25
110504692,1
110504699,9
110504701,1
110504702,2
110504705,2
110504710,4
110504714,2
110504716,2
110504717,3
110504724,1
110504725,1
110504726,1
110504727,3
110504746,1
110504761,1
110504772,1
110504772,1
110504772,1
110504772,1
110504774,2
110504780,3
110504782,1
110504791,3
110504794,2
110504798,1
110504799,1
110504804,1
110504811,1
110504817,15
110504819,2
110504820,2
110504822,1
110504823,2
110504826,2
110504828,6
110504829,3
110504833,2
110504836,1
110504837,7
110504839,2
110504843,1
110604851,1
110604853,1
110604855,1
110604856,1
110604857,2
110604859,2
110604861,3
110604863,5
110604866,1
110604867,3
110604871,2
110604873,2
110604875,2
110604876,1
110604877,3
110604878,2
110604880,1
110604885,2
110604887,1
110604892,6
110604893,3
110604894,2
110604895,1
110604896,3
110604897,3
110604898,1
110604900,1
110604901,1
110604902,7
110604906,2
110604909,5
110604910,1
110604916,1
110604917,5
110604919,1
110604920,1
110604921,1
110604922,1
110604923,2
110604932,1
110604937,2
110604938,2
110604944,2
110604945,3
110604946,2
110604950,1
110604954,2
110604955,1
110604958,1
110604959,3
110604965,1
110604968,1
110604971,3
110604972,2
110604973,1
110604974,1
110604975,3
110604977,2
110604978,3
110604979,2
110604982,2
110604983,4
110604984,2
110604986,1
110604987,2
110604999,3
110605002,2
110605007,1
110605011,4
110605014,1
110605017,1
110605032,1
110605034,3
110605036,4
110605039,2
110605040,1
110605041,2
110605042,2
110605043,2
110605044,1
110605045,1
110605046,1
110605047,1
110605048,1
110605053,4
110605062,2
110605069,3
110605078,7
110605083,3
110605084,1
110605085,1
110605099,4
110605100,8
110605108,2
110605109,3
110605121,1
110605123,5
110605127,1
110605132,3
110605133,2
110605143,1
110605144,2
110605145,1
110605146,1
110605147,2
110605148,4
110605154,2
110705153,4
110705155,1
110705156,4
110705163,1
110705164,1
110705165,6
110705169,5
110705172,2
110705173,8
110705178,1
110705179,1
110705180,1
110705183,4
110705184,4
110705188,1
110705193,1
110705194,2
110705200,2
110705203,1
110705205,1
110705206,2
110705209,1
110705210,3
110705213,2
110705214,1
110705220,2
110705221,1
110705223,2
110705224,8
110705225,3
110705226,1
110705228,1
110705230,1
110705236,2
110705244,2
110705247,2
110705248,1
110705249,2
110705251,3
110705252,1
110705253,1
110705254,1
110705256,1
110705257,2
110705258,3
110705259,2
110705260,2
110705265,2
110705267,3
110705269,1
110705270,1
110705271,1
110705272,1
110705273,2
110705274,1
110705276,1
110705277,1
110705278,1
110705280,2
110705282,2
110705286,1
110705287,1
110705288,3
110705289,2
110705290,2
110705294,1
110705295,2
110705297,2
110705298,4
110705299,2
110705300,3
110705301,1
110705302,4
110705303,8
110705304,1
110705306,1
110705307,1
110705308,1
110705309,4
110705310,2
110705315,2
110705316,2
110705317,1
110705318,1
110705319,2
110705321,1
110705322,1
110705323,1
110705324,1
110705325,4
110705329,3
110705332,1
110705333,1
110705334,1
110705336,1
110705337,2
110705338,2
110705339,4
110705340,2
110705341,2
110705343,2
110705344,1
110705345,1
110705346,4
110705347,1
110705348,1
110705349,1
110705350,1
110705351,1
110705352,1
110705353,1
110705354,2
110705358,1
110705359,2
110705360,1
110705361,2
110705362,1
110705364,1
110705365,1
110705366,1
110705367,1
110705368,2
110705369,1
110705371,13
110705372,1
110705373,1
110705374,1
110705375,1
110705377,2
110705378,2
110705379,1
110705386,2
110705388,3
110705389,1
110705390,3
110705391,3
110705392,1
110705393,1
110705394,2
110705395,1
110705396,2
110705397,3
110705398,4
110705399,1
110705400,1
110705401,1
110705402,1
110705406,1
110705407,1
110705408,4
110705409,2
110705410,2
110705411,1
110705414,2
110705416,2
110705417,1
110705418,2
110705419,1
110705420,1
110705422,2
110705424,2
110705425,1
110705427,5
110705428,2
110705430,1
110705431,1
110705432,2
110705433,1
110705434,3
110705435,2
110705436,1
110705437,1
110705438,1
110705439,2
110705440,1
110705441,1
110705442,3
110705443,2
110705444,2
110705445,1
110705446,1
110705447,1
110705448,2
110705449,3
110705450,1
110705455,1
110705456,1
110705457,3
110705458,1
110705459,2
110705460,1
110705461,4
110705462,1
110705463,1
110705464,1
110705465,1
110705466,1
110705467,1
110705469,1
110705470,1
110705471,1
110705472,2
110705473,1
110705474,1
110705475,1
110705476,2
110705477,1
110705478,4
110705479,1
110705481,1
110705484,1
110705485,2
110705486,1
110705487,1
110705489,1
110705493,1
110705494,2
110705495,1
110705496,1
110705497,1
110705498,1
110705499,5
110705500,1
110705501,1
110705502,21
110705503,6
110705506,1
110705514,1
110705515,5
110705516,1
110705517,1
110705518,2
110705521,1
110705522,9
110705526,5
110705529,1
110705535,1
110705536,1
110705537,1
110705538,1
110705539,1
110705541,3
110705542,3
110705543,2
110705544,1
110705545,1
110705547,3
110705548,1
110705549,1
110705552,3
110705553,1
110705554,1
110705555,2
110705556,1
110705557,1
110705559,1
110705560,1
110705562,2
110705563,1
110705564,1
110705566,1
110705568,2
110705570,1
110705572,3
110705573,2
110705574,2
110705575,2
110705579,1
110705581,1
110705582,1
110705584,2
110705586,2
110705587,1
110705588,2
110705589,1
110705591,1
110705596,7
110705597,1
110705599,1
110705600,1
110705601,1
110705602,2
110705604,1
110705607,2
110705608,1
110705609,1
110705610,1
110705611,2
110705619,1
110705620,1
110705621,3
110705624,1
110705627,1
110705628,1
110705629,1
110705630,1
110705631,1
110705632,1
110705633,2
110705641,1
110705642,2
110705643,2
110705644,1
110705645,2
110705648,1
110705653,2
110705654,2
110705655,1
110705660,1
110705662,3
110705665,1
110705671,1
110705672,1
110705678,2
110705679,3
110705682,1
110705689,1
110705690,1
110705695,3
110705698,1
110705699,2
110805696,1
110805700,2
110805701,1
110805702,1
110805704,2
110805708,1
110805709,2
110805710,1
110805712,2
110805713,1
110805714,3
110805715,1
110805716,1
110805717,1
110805719,1
110805720,2
110805722,1
110805723,46
110805724,1
110805725,2
110805726,1
110805728,1
110805729,1
110805733,1
110805734,1
110805735,2
110805736,1
110805737,1
110805738,2
110805739,1
110805740,1
110805745,2
110805747,1
110805749,1
110805750,3
110805751,5
110805752,1
110805753,1
110805754,1
110805755,1
110805756,1
110805757,1
110805758,1
110805762,1
110805766,1
110805767,1
110805768,1
110805771,1
110805772,3
110805773,1
110805774,1
110805775,1
110805777,1
110805778,4
110805780,1
110805782,1
110805783,4
110805784,1
110805785,1
110805786,1
110805789,1
110805790,1
110805791,5
110805792,1
110805793,1
110805794,1
110805795,1
110805797,2
110805798,5
110805799,1
110805800,1
110805801,3
110805805,1
110805806,1
110805809,1
110805810,2
110805812,1
110805813,1
110805814,1
110805815,1
110805816,9
110805818,1
110805819,1
110805820,1
110805821,1
110805822,1
110805823,2
110805824,2
110805825,1
110805826,1
110805828,1
110805829,1
110805830,1
110805831,1
110805832,1
110805833,1
110805834,1
110805835,1
110805836,1
110805837,1
110805838,2
110805839,2
110805840,1
110805842,1
110805843,1
110805844,2
110805845,2
110805846,2
110805848,4
110805849,2
110805850,3
110805851,1
110805852,1
110805854,1
110805855,1
110805856,5
110805857,3
110805858,2
110805859,2
110805860,2
110805861,2
110805863,1
110805865,1
110805866,1
110805868,1
110805869,1
110805870,2
110805871,1
110805873,1
110805874,1
110805875,1
110805876,1
110805877,1
110805879,1
110805880,1
110805881,1
110805882,2
110805883,1
110805884,2
110805885,1
110805886,1
110805887,1
110805888,1
110805889,1
110805890,1
110805891,1
110805892,1
110805894,1
110805895,1
110805896,1
110805898,1
110805899,1
110805900,1
110805901,2
110805903,1
110805904,1
110805905,1
110805906,2
110805907,1
110805908,1
110805909,1
110805910,1
110805912,1
110805913,1
110805914,1
110805915,2
110805916,2
110805917,1
110805918,1
110805919,1
110805920,2
110805921,1
110805922,3
110805923,1
110805924,1
110805926,1
110805927,1
110805929,1
110805930,1
110805931,1
110805932,1
110805933,3
110805934,1
110805935,7
110805936,1
110805937,1
110805939,1
110805940,1
110805941,3
110805942,1
110805943,2
110805944,1
110805945,3
110805946,1
110805947,1
110805948,2
110805949,1
110805951,1
110805952,2
110805953,1
110805954,2
110805955,1
110805957,2
110805964,1
110805967,1
110805968,1
110805969,1
110805971,7
110805972,1
110805973,1
110805974,1
110805975,1
110805977,1
110805978,1
110805979,1
110805980,2
110805981,2
110805982,1
110805983,1
110805984,2
110805986,1
110805987,1
110805988,2
110805989,1
110805990,2
110805992,1
110805994,1
110805995,1
110805996,2
110805997,2
110805998,1
110805999,1
110806000,1
110806001,1
110806002,3
110806004,2
110806005,1
110806006,1
110806007,1
110806008,1
110806009,1
110806010,1
110806011,1
110806012,2
110806013,1
110806014,1
110806015,2
110806016,4
110806019,1
110806021,2
110806022,2
110806023,1
110806024,2
110806025,1
110806027,2
110806028,3
110806029,2
110806030,1
110806031,2
110806035,1
110806036,2
110806037,1
110806038,2
110806040,1
110806041,2
110806042,1
110806044,1
110806047,1
110806048,
110806049,2
110806050,2
110806051,1
110806052,2
110806053,1
110806054,1
110806055,1
110806056,1
110806057,1
110806058,1
110806059,1
110806060,1
110806061,1
110806062,1
110806063,6
110806064,1
110806065,1
110806066,1
110806067,1
110806068,1
110806069,1
110806070,1
110806071,1
110806072,1
110806073,1
110806074,1
110806075,1
110806076,1
110806077,4
110806078,4
110806079,2
110806080,1
110806081,1
110806083,7
110806084,1
110806085,1
110806086,1
110806087,2
110806088,1
110806089,1
110806090,1
110806091,1
110806092,1
110806093,5
110806095,1
110806096,1
110806097,1
110806098,1
110806099,1
110806100,1
110806101,1
110806102,2
110806103,1
110806104,1
110806105,2
110806109,2
110806110,3
110806111,3
110806112,1
