cislo_licence,druh,technologie,mw
110100228,elektrický,vodní,0.03
110100229,elektrický,celkový,0.044
110100229,elektrický,vodní,0.044
110100230,elektrický,celkový,13.114
110100230,tepelný,celkový,15.89
110100230,elektrický,bez názvu,0.13
110100230,tepelný,bez názvu,0.201
110100230,elektrický,plynový a spalovací,12.954
110100230,tepelný,plynový a spalovací,15.689
110100230,elektrický,sluneční,0.03
110100248,elektrický,celkový,26.0
110100248,tepelný,celkový,87.2
110100248,elektrický,parní,26.0
110100248,tepelný,parní,87.2
110100257,elektrický,celkový,0.044
110100257,elektrický,vodní,0.044
110100264,elektrický,celkový,0.44
110100264,elektrický,sluneční,0.03
110100264,elektrický,vodní,0.41
110100268,elektrický,celkový,0.03
110100268,elektrický,vodní,0.03
110100277,elektrický,celkový,0.314
110100277,tepelný,celkový,0.441
110100277,elektrický,plynový a spalovací,0.314
110100277,tepelný,plynový a spalovací,0.441
110100292,elektrický,celkový,0.9
110100292,tepelný,celkový,14.042
110100292,elektrický,parní,0.5
110100292,tepelný,parní,13.5
110100292,elektrický,plynový a spalovací,0.4
110100292,tepelný,plynový a spalovací,0.542
110100296,elektrický,celkový,0.037
110100296,elektrický,vodní,0.037
110100297,elektrický,celkový,0.159
110100297,elektrický,vodní,0.159
110100300,elektrický,celkový,130.5
110100300,tepelný,celkový,414.2
110100300,elektrický,parní,130.5
110100300,tepelný,parní,414.2
110100301,elektrický,celkový,460.0
110100301,tepelný,celkový,1338.0
110100301,elektrický,parní,460.0
110100301,tepelný,parní,1338.0
110100303,elektrický,celkový,0.015
110100303,elektrický,vodní,0.015
110100304,elektrický,celkový,0.136
110100304,elektrický,vodní,0.136
110100309,elektrický,celkový,0.185
110100309,tepelný,celkový,0.278
110100309,elektrický,plynový a spalovací,0.185
110100309,tepelný,plynový a spalovací,0.278
110100313,elektrický,celkový,0.022
110100313,elektrický,vodní,0.022
110100314,elektrický,celkový,0.015
110100314,elektrický,vodní,0.015
110100316,elektrický,celkový,0.225
110100316,elektrický,vodní,0.225
110100318,elektrický,celkový,0.03
110100318,elektrický,vodní,0.03
110100323,elektrický,celkový,0.044
110100323,tepelný,celkový,0.09
110100323,elektrický,plynový a spalovací,0.044
110100323,tepelný,plynový a spalovací,0.09
110100325,elektrický,celkový,1.94
110100325,tepelný,celkový,62.0
110100325,elektrický,parní,0.88
110100325,tepelný,parní,62.0
110100325,elektrický,sluneční,1.06
110100330,elektrický,celkový,0.135
110100330,tepelný,celkový,0.2
110100330,elektrický,parní,0.135
110100330,tepelný,parní,0.2
110100331,elektrický,celkový,0.04
110100331,elektrický,vodní,0.04
110100333,elektrický,celkový,1.126
110100333,tepelný,celkový,0.946
110100333,elektrický,plynový a spalovací,1.126
110100333,tepelný,plynový a spalovací,0.946
110100337,elektrický,celkový,0.015
110100337,elektrický,vodní,0.015
110100338,elektrický,celkový,0.09
110100338,elektrický,vodní,0.09
110100339,elektrický,celkový,202.546
110100339,elektrický,sluneční,126.042
110100339,elektrický,větrný,8.16
110100339,elektrický,vodní,68.344
110100340,elektrický,celkový,0.076
110100340,tepelný,celkový,0.129
110100340,elektrický,plynový a spalovací,0.066
110100340,tepelný,plynový a spalovací,0.129
110100340,elektrický,sluneční,0.01
110100346,elektrický,celkový,0.044
110100346,elektrický,vodní,0.044
110100348,elektrický,celkový,0.26
110100348,elektrický,vodní,0.26
110100353,elektrický,celkový,0.037
110100353,elektrický,vodní,0.037
110100354,elektrický,celkový,0.02
110100354,elektrický,vodní,0.02
110100356,elektrický,celkový,0.055
110100356,elektrický,vodní,0.055
110100357,elektrický,celkový,0.525
110100357,elektrický,vodní,0.525
110100360,elektrický,celkový,0.18
110100360,elektrický,vodní,0.18
110100361,elektrický,celkový,0.07
110100361,elektrický,vodní,0.07
110100367,elektrický,celkový,1.029
110100367,tepelný,celkový,1.158
110100367,elektrický,plynový a spalovací,1.029
110100367,tepelný,plynový a spalovací,1.158
110100377,elektrický,celkový,0.037
110100377,elektrický,vodní,0.037
110100382,elektrický,celkový,0.17
110100382,elektrický,vodní,0.17
110100390,elektrický,celkový,0.14
110100390,elektrický,vodní,0.14
110100391,elektrický,celkový,0.291
110100391,elektrický,vodní,0.291
110100393,elektrický,celkový,16.533
110100393,tepelný,celkový,203.908
110100393,elektrický,parní,16.533
110100393,tepelný,parní,203.908
110100399,elektrický,celkový,0.085
110100399,elektrický,vodní,0.085
110100411,elektrický,celkový,3.648
110100411,elektrický,sluneční,0.061
110100411,elektrický,vodní,3.588
110100430,elektrický,celkový,0.02
110100430,elektrický,vodní,0.02
110100434,elektrický,celkový,0.036
110100434,elektrický,vodní,0.036
110100435,elektrický,celkový,0.002
110100435,elektrický,vodní,0.002
110100440,elektrický,celkový,0.31
110100440,elektrický,vodní,0.31
110100453,elektrický,celkový,3.604
110100453,tepelný,celkový,4.597
110100453,elektrický,plynový a spalovací,3.604
110100453,tepelný,plynový a spalovací,4.597
110100457,elektrický,celkový,0.032
110100457,elektrický,vodní,0.032
110100458,elektrický,celkový,0.022
110100458,tepelný,celkový,0.043
110100458,elektrický,plynový a spalovací,0.022
110100458,tepelný,plynový a spalovací,0.043
110100468,elektrický,celkový,0.14
110100468,tepelný,celkový,0.2
110100468,elektrický,plynový a spalovací,0.14
110100468,tepelný,plynový a spalovací,0.2
110100472,elektrický,celkový,0.044
110100472,tepelný,celkový,0.086
110100472,elektrický,plynový a spalovací,0.044
110100472,tepelný,plynový a spalovací,0.086
110100477,elektrický,celkový,4.54
110100477,tepelný,celkový,38.333
110100477,elektrický,parní,4.54
110100477,tepelný,parní,38.333
110100479,elektrický,celkový,0.074
110100479,tepelný,celkový,0.084
110100479,elektrický,plynový a spalovací,0.044
110100479,tepelný,plynový a spalovací,0.084
110100479,elektrický,sluneční,0.03
110100482,elektrický,celkový,0.043
110100482,tepelný,celkový,0.042
110100482,elektrický,plynový a spalovací,0.022
110100482,tepelný,plynový a spalovací,0.042
110100482,elektrický,sluneční,0.021
110100485,elektrický,celkový,0.018
110100485,elektrický,vodní,0.018
110100489,elektrický,celkový,0.022
110100489,elektrický,vodní,0.022
110100490,elektrický,celkový,6.714
110100490,elektrický,vodní,6.714
110100491,elektrický,celkový,0.022
110100491,elektrický,vodní,0.022
110100493,elektrický,celkový,0.312
110100493,elektrický,vodní,0.312
110100494,elektrický,celkový,0.36
110100494,elektrický,vodní,0.36
110100495,elektrický,celkový,0.03
110100495,elektrický,vodní,0.03
110100496,elektrický,celkový,0.03
110100496,elektrický,vodní,0.03
110100521,elektrický,celkový,0.22
110100521,elektrický,vodní,0.22
110100522,elektrický,celkový,0.132
110100522,elektrický,vodní,0.132
110100523,elektrický,celkový,4.816
110100523,tepelný,celkový,6.554
110100523,elektrický,plynový a spalovací,4.816
110100523,tepelný,plynový a spalovací,6.554
110100532,elektrický,celkový,0.01
110100532,elektrický,vodní,0.01
110100533,elektrický,celkový,0.03
110100533,elektrický,vodní,0.03
110100534,elektrický,celkový,0.03
110100534,elektrický,vodní,0.03
110100535,elektrický,celkový,0.022
