cislo_licence,druh,technologie,mw
310100398,tepelný,teplovodní,4.195
310100416,elektrický,celkový,0.044
310100416,tepelný,celkový,9.014
310100416,tepelný,teplovodní,9.014
310100416,tepelný,výkon kvet,0.09
310100420,elektrický,celkový,10.351
310100420,tepelný,celkový,73.591
310100420,tepelný,horkovodní,12.002
310100420,tepelný,teplovodní,61.589
310100420,tepelný,výkon kvet,12.601
310100432,tepelný,celkový,2.64
310100432,tepelný,teplovodní,2.64
310100449,tepelný,celkový,2.51
310100449,tepelný,teplovodní,2.51
310100450,tepelný,celkový,4.2
310100450,tepelný,teplovodní,4.2
310100451,elektrický,celkový,105.71
310100451,tepelný,celkový,249.775
310100451,tepelný,parní,218.461
310100451,tepelný,teplovodní,31.314
310100451,tepelný,výkon kvet,168.258
310100454,elektrický,celkový,3.604
310100454,tepelný,celkový,18.367
310100454,tepelný,teplovodní,18.367
310100454,tepelný,výkon kvet,4.597
310100462,elektrický,celkový,5.464
310100462,tepelný,celkový,79.528
310100462,tepelný,horkovodní,8.565
310100462,tepelný,teplovodní,70.963
310100462,tepelný,výkon kvet,6.637
310100467,tepelný,celkový,1.06
310100467,tepelný,teplovodní,1.06
310100473,tepelný,celkový,3.1
310100473,tepelný,teplovodní,3.1
310100476,elektrický,celkový,4.54
310100476,tepelný,celkový,38.333
310100476,tepelný,parní,38.333
310100476,tepelný,výkon kvet,38.333
310100478,tepelný,celkový,3.36
310100478,tepelný,teplovodní,3.36
310100498,elektrický,celkový,1.029
310100498,tepelný,celkový,14.593
310100498,tepelný,teplovodní,14.593
310100498,tepelný,výkon kvet,1.158
310100502,tepelný,celkový,6.12
310100502,tepelný,teplovodní,6.12
310100509,tepelný,celkový,0.8
310100509,tepelný,teplovodní,0.8
310100511,elektrický,celkový,14.35
310100511,tepelný,celkový,17.24
310100511,tepelný,parní,17.24
310100511,tepelný,výkon kvet,0.2
310100515,elektrický,celkový,30.0
310100515,tepelný,celkový,205.5
310100515,tepelný,parní,205.5
310100515,tepelný,výkon kvet,109.0
310100518,tepelný,celkový,2.04
310100518,tepelný,teplovodní,2.04
310100520,tepelný,celkový,46.942
310100520,tepelný,teplovodní,46.942
310100527,elektrický,celkový,4.816
310100527,tepelný,celkový,24.054
310100527,tepelný,teplovodní,24.054
310100527,tepelný,výkon kvet,6.554
310100529,tepelný,celkový,116.0
310100529,tepelný,parní,116.0
310100546,tepelný,celkový,5.8
310100546,tepelný,teplovodní,5.8
310100551,elektrický,celkový,347.276
310100551,tepelný,celkový,2375.643
310100551,tepelný,parní,1977.765
310100551,tepelný,horkovodní,227.08
310100551,tepelný,teplovodní,170.798
310100551,tepelný,výkon kvet,1695.7
310100554,elektrický,celkový,0.028
310100554,tepelný,celkový,16.792
310100554,tepelný,parní,2.7
310100554,tepelný,teplovodní,14.092
310100554,tepelný,výkon kvet,0.054
310100558,tepelný,celkový,4.99
310100558,tepelný,horkovodní,3.79
310100558,tepelný,teplovodní,1.2
310100597,elektrický,celkový,0.044
310100597,tepelný,celkový,0.78
310100597,tepelný,teplovodní,0.78
310100626,tepelný,celkový,10.008
310100626,tepelný,teplovodní,10.008
310100628,elektrický,celkový,0.8
310100628,tepelný,celkový,29.937
310100628,tepelný,teplovodní,29.937
310100628,tepelný,výkon kvet,0.937
310100636,tepelný,celkový,6.238
310100636,tepelný,teplovodní,6.238
310100649,tepelný,celkový,16.2
310100649,tepelný,parní,16.2
310100657,tepelný,celkový,10.36
310100657,tepelný,teplovodní,10.36
310100662,elektrický,celkový,16.2
310100662,tepelný,celkový,82.8
310100662,tepelný,parní,82.8
310100662,tepelný,výkon kvet,82.8
310100685,elektrický,celkový,50.0
310100685,tepelný,celkový,331.96
310100685,tepelný,parní,301.5
310100685,tepelný,horkovodní,30.46
310100685,tepelný,výkon kvet,264.9
310100703,tepelný,celkový,11.64
310100703,tepelný,horkovodní,11.64
310100707,tepelný,celkový,13.63
310100707,tepelný,teplovodní,13.63
310100715,tepelný,celkový,3.375
310100715,tepelný,teplovodní,3.375
310100729,tepelný,celkový,2.7
310100729,tepelný,teplovodní,2.7
310100735,tepelný,celkový,6.13
310100735,tepelný,teplovodní,6.13
310100743,elektrický,celkový,0.23
310100743,tepelný,celkový,34.213
310100743,tepelný,teplovodní,34.213
310100743,tepelný,výkon kvet,6.365
310100745,elektrický,celkový,0.6
310100745,tepelný,celkový,14.083
310100745,tepelný,teplovodní,14.083
310100745,tepelný,výkon kvet,0.698
310100748,tepelný,celkový,7.974
310100748,tepelný,teplovodní,7.974
310100749,elektrický,celkový,4.92
310100749,tepelný,celkový,25.087
310100749,tepelný,teplovodní,25.087
310100749,tepelný,výkon kvet,5.487
310100752,elektrický,celkový,1.038
310100752,tepelný,celkový,27.791
310100752,tepelný,parní,6.485
310100752,tepelný,teplovodní,21.306
310100752,tepelný,výkon kvet,1.395
310100754,tepelný,celkový,12.68
310100754,tepelný,teplovodní,12.68
310100756,tepelný,celkový,0.81
310100756,tepelný,teplovodní,0.81
310100758,tepelný,celkový,0.603
310100758,tepelný,teplovodní,0.603
310100760,elektrický,celkový,0.96
310100760,tepelný,celkový,2.2
310100760,tepelný,teplovodní,2.2
310100762,tepelný,celkový,7.0
310100762,tepelný,parní,7.0
310100770,elektrický,celkový,2.776
310100770,tepelný,celkový,59.917
310100770,tepelný,parní,4.104
310100770,tepelný,teplovodní,55.813
310100770,tepelný,výkon kvet,4.306
310100783,elektrický,celkový,0.264
